,Seed,east,midwest,south,west,seedings
0,1,Arizona,Michigan,Vanderbilt,Iowa St.,0
15,16,Howard,LIU,Vermont,Grambling St.,1
7,8,Iowa,Saint Mary's,USC,Seton Hall,2
8,9,LSU,Kentucky,Indiana,St. John's,3
4,5,Kansas,Virginia,Arkansas,Texas Tech,4
11,12,McNeese St.,Yale,Tulsa,Illinois St.,5
3,4,Alabama,Illinois,Villanova,North Carolina,6
12,13,Liberty,Utah Valley,Hofstra,UC San Diego,7
5,6,Louisville,Clemson,SMU,Tennessee,8
10,11,UCLA,Miami FL,TCU,Texas A&M,9
2,3,BYU,Gonzaga,Houston,Michigan St.,10
13,14,Quinnipiac,High Point,St. Thomas,Troy,11
6,7,UCF,Georgia,Utah St.,Florida,12
9,10,Oklahoma,Saint Louis,New Mexico,Virginia Tech,13
1,2,Purdue,Nebraska,Connecticut,Duke,14
14,15,Northern Colorado,Oakland,Lipscomb,Tennessee Martin,15
